Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM155R60J475ME87D","C_0402_1005Metric_L",26.293420,-4.747740,180.000000,top
"C1","GRM033R61A104ME15D","C_0201_0603Metric_L",7.759200,-22.386600,270.000000,top
"C2","GRM033R61A225ME47D","C_0201_0603Metric_L",22.204020,-8.329140,270.000000,top
"C2","GRM033R61A104ME15D","C_0201_0603Metric_L",11.188200,-21.738200,270.000000,top
"C3","GRM033R61A104ME15D","C_0201_0603Metric_L",7.014800,-24.506800,0.000000,top
"C4","GRM033R61A104ME15D","C_0201_0603Metric_L",12.044000,-22.597800,0.000000,top
"C4","GRM033R61A104ME15D","C_0201_0603Metric_L",27.766620,-6.830540,270.000000,top
"C5","GRM033R61A104ME15D","C_0201_0603Metric_L",11.790000,-21.738200,270.000000,top
"C5","GRM033R61A225ME47D","C_0201_0603Metric_L",21.518220,-6.627340,270.000000,top
"C6","GRM155R60J475ME87D","C_0402_1005Metric_L",23.372420,-8.430740,180.000000,top
"C7","GRM033R61A104ME15D","C_0201_0603Metric_L",27.766620,-8.100540,270.000000,top
"C7","GRM033R61A104ME15D","C_0201_0603Metric_L",11.518400,-24.477400,0.000000,top
"C8","GRM033R61A104ME15D","C_0201_0603Metric_L",9.275400,-24.837000,270.000000,top
"C9","GRM033R61A104ME15D","C_0201_0603Metric_L",9.819200,-39.793400,180.000000,top
"C9","GRM033R61A104ME15D","C_0201_0603Metric_L",6.362200,-25.104400,180.000000,top
"C11","GRM033R61A104ME15D","C_0201_0603Metric_L",10.299200,-21.607200,180.000000,top
"C12","GRM033R61A104ME15D","C_0201_0603Metric_L",11.510600,-25.091000,0.000000,top
"C13","GRM033R61A104ME15D","C_0201_0603Metric_L",7.497400,-25.116400,0.000000,top
"C16","GRM033R61A104ME15D","C_0201_0603Metric_L",7.530600,-20.388000,90.000000,top
"C17","GRM188R61E475KE11D","C_0603_1608Metric_L",11.696200,-20.311800,0.000000,top
"C19","GRM033R61A104ME15D","C_0201_0603Metric_L",9.275400,-21.814400,270.000000,top
"D1","VLMS1500-GS08","LED_0402_1005Metric",9.283200,-19.092600,180.000000,top
"G***","LOGO","Miniscope_Logo2",14.607420,-5.396540,0.000000,top
"J1","Conn_01x20","B2B_Flex_20_Dual_Row_38milx24mil_Pad_20mil",13.800000,-27.000000,180.000000,top
"J1","Conn_01x14","B2B_Flex_14_Dual_Row_38milx24mil_Pad_20mil",22.014380,-19.027660,270.000000,top
"J1","Conn_01x01","Conn_1x1_250x750_Pad",30.814620,-4.696940,90.000000,top
"J2","Conn_01x01","Conn_1x1_700_Circular_Pad",27.775980,-21.543860,270.000000,top
"J2","Conn_01x14","B2B_Flex_14_Dual_Row_38milx24mil_Pad_20mil",14.000000,-19.000000,270.000000,top
"J3","Conn_01x01","Conn_1x1_700_Circular_Pad",26.505980,-21.543860,270.000000,top
"J4","Conn_01x01","Conn_1x1_700_Circular_Pad",27.775980,-22.813860,270.000000,top
"J5","Conn_01x01","Conn_1x1_700_Circular_Pad",26.505980,-22.813860,270.000000,top
"J6","Conn_01x01","Conn_1x1_700_Circular_Pad",27.775980,-24.083860,270.000000,top
"J6","Conn_01x01","Conn_1x1_250x750_Pad",30.687620,-6.065740,90.000000,top
"J7","Conn_01x01","Conn_1x1_700_Circular_Pad",26.505980,-24.083860,270.000000,top
"J7","Conn_01x01","Conn_1x1_250x750_Pad",30.687620,-7.065740,90.000000,top
"J8","Conn_01x05","B2B_Flex_05_Dual_Row_38milx24mil_Pad_20mil",24.833780,-18.959460,0.000000,top
"J9","Conn_01x01","Conn_1x1_700_Circular_Pad",24.351180,-19.569060,270.000000,top
"J10","Conn_01x05","B2B_Flex_05_Dual_Row_38milx24mil_Pad_20mil",24.849716,-8.936454,0.000000,top
"J16","Conn_01x20_Female","B2B_Flex_20_Dual_Row_38milx24mil_Pad_20mil",13.802596,-33.011600,180.000000,top
"J_coax1","U_FL-R-SMT_10_","Coax_Conn_U.FL",14.191220,-37.685200,0.000000,top
"J_coax_gnd1","Conn_01x01","Conn_1x1_100x100_Pad",14.089620,-35.147740,270.000000,top
"J_extra1","Conn_01x05","B2B_Flex_05_Dual_Row_38milx24mil_Pad_20mil",5.298680,-34.312082,270.000000,top
"J_extra2","Conn_01x05","B2B_Flex_05_Dual_Row_38milx24mil_Pad_20mil",5.263120,-37.431202,270.000000,top
"L1","BLM18PG471SN1D","L_0603_1608Metric_L",11.620000,-23.486800,180.000000,top
"L2","BLM18PG471SN1D","L_0603_1608Metric_L",9.181600,-20.337200,0.000000,top
"Q1","MMBT3904LP-7B","TRXDFN3_101X61X53L25X15N",10.959600,-19.092600,180.000000,top
"R1","ERJ-1GEF1022C","R_0201_0603Metric_ERJ_L",21.518220,-4.773140,90.000000,top
"R1","ERJ-1GNF1801C","R_0201_0603Metric_ERJ_L",7.530600,-19.245000,270.000000,top
"R2","DNL","R_0201_0603Metric_ERJ_L",29.620820,-8.633940,0.000000,top
"R3","DNL","R_0201_0603Metric_ERJ_L",30.509820,-8.379940,270.000000,top
"R3","ERJ-1GNF4752C","R_0201_0603Metric_ERJ_L",5.879600,-23.766200,180.000000,top
"R4","1K","R_0201_0603Metric_ERJ_L",12.229600,-18.991000,0.000000,top
"REF_BL","Fiducial_0.75mm_Dia_1.5mm_Outer","Fiducial_0.75mm_Dia_1.5mm_Outer",1.500000,-43.500000,0.000000,top
