Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM155R71A104JA01D","C_0402_1005Metric_L",21.709580,-20.635860,90.000000,bottom
"C2","GRM155R60J475ME87D","C_0402_1005Metric_L",21.721380,-24.171060,270.000000,bottom
"C3","100nF 100V 0603","C_0603_1608Metric_L",29.900220,-7.109940,90.000000,bottom
"C4","GRM155R60J106ME15D","C_0402_1005Metric_L",13.022820,-33.979340,90.000000,bottom
"C5","GRM155R60J106ME15D","C_0402_1005Metric_L",12.057620,-33.979340,90.000000,bottom
"C6","GRM155R60J106ME15D","C_0402_1005Metric_L",4.660400,-22.470800,270.000000,bottom
"C6","GRM033R61A105ME15D","C_0201_0603Metric_L",15.689820,-33.388200,270.000000,bottom
"C7","GRM033R61A105ME15D","C_0201_0603Metric_L",15.689820,-34.512740,90.000000,bottom
"C8","GRM033R61A105ME15D","C_0201_0603Metric_L",14.230000,-32.633140,180.000000,bottom
"C10","GRM155R60J106ME15D","C_0402_1005Metric_L",4.660400,-25.925200,270.000000,bottom
"C10","GRM033R61C473KE84D","C_0201_0603Metric_L",8.994380,-37.972220,270.000000,bottom
"C11","GRM033R61A105ME15D","C_0201_0603Metric_L",6.512800,-39.287940,270.000000,bottom
"C14","GRM155R60J106ME15D","C_0402_1005Metric_L",4.660400,-24.198000,90.000000,bottom
"C15","GRM033R61A104ME15D","C_0201_0603Metric_L",4.533400,-19.930800,90.000000,bottom
"C18","GRM033R61A104ME15D","C_0201_0603Metric_L",4.508000,-21.099200,90.000000,bottom
"C18","GRM155R60J475ME47D","C_0402_1005Metric_L",8.240000,-37.654220,90.000000,bottom
"C19","GRM033R61A104ME15D","C_0201_0603Metric_L",8.382240,-35.538900,270.000000,bottom
"C20","GRM033R71A103KA01D","C_0201_0603Metric_L",8.984220,-35.531960,270.000000,bottom
"C21","GRM033R61A104ME15D","C_0201_0603Metric_L",10.155160,-35.635420,180.000000,bottom
"C22","GRM033R71A103KA01D","C_0201_0603Metric_L",10.155160,-35.015660,180.000000,bottom
"C23","GRM155R60J475ME47D","C_0402_1005Metric_L",6.901420,-38.297340,180.000000,bottom
"C24","GRM033R61A104ME15D","C_0201_0603Metric_L",7.180820,-36.900340,180.000000,bottom
"C25","GRM033R71A103KA01D","C_0201_0603Metric_L",7.180820,-37.509940,180.000000,bottom
"C26","GRJ155R60J106ME11D","C_0402_1005Metric_L",10.540740,-39.026320,0.000000,bottom
"C27","GRM033R61A104ME15D","C_0201_0603Metric_L",10.838420,-37.713140,0.000000,bottom
"C28","GRM033R71A103KA01D","C_0201_0603Metric_L",10.838420,-38.322740,0.000000,bottom
"C29","GRM033R61A104ME15D","C_0201_0603Metric_L",7.917420,-34.411140,90.000000,bottom
"C30","GRM033R71A103KA01D","C_0201_0603Metric_L",8.519400,-34.408600,90.000000,bottom
"D1","BAS316","SOD_323_250X125X110L30X32L",29.392220,-5.128740,180.000000,bottom
"D2","LXZ1-PR01","LED_LXZ1_PR01_L",23.811420,-6.565740,90.000000,bottom
"L1","ADL3225V-470MT-TL000","L_1210_3225Metric_L",14.877020,-37.282340,90.000000,bottom
"L1","LQM18PN3R3MGHD","L_0603_1608Metric_L",28.655620,-7.109940,90.000000,bottom
"L2","BLM15HD102SN1D","L_0402_1005Metric",14.613000,-39.872140,0.000000,bottom
"L4","BLM15HD102SN1D","L_0402_1005Metric",7.155420,-35.630340,90.000000,bottom
"L5","BLM15HD102SN1D","L_0402_1005Metric",9.771620,-37.042580,90.000000,bottom
"R1","MMBT3904LP-7B","R_0201_0603Metric_ERJ_L",13.116800,-37.689600,270.000000,bottom
"R2","ERJ-1GEF49R9C","R_0201_0603Metric_ERJ_L",8.984220,-36.788580,270.000000,bottom
"R3","ERJ-1GEF1002C","R_0201_0603Metric_ERJ_L",5.885420,-39.287940,90.000000,bottom
"R4","ERJ-1GEF1002C","R_0201_0603Metric_ERJ_L",7.589760,-39.709580,180.000000,bottom
"R5","ERJ-1GEF3321C","R_0201_0603Metric_ERJ_L",5.318320,-36.262800,0.000000,bottom
"R6","ERJ-1GEF3321C","R_0201_0603Metric_ERJ_L",5.313920,-36.946060,0.000000,bottom
"R7","ERJ-1GEF1003C","R_0201_0603Metric_ERJ_L",5.479020,-38.424340,180.000000,bottom
"U1","ATmega328-MU","QFN_33_P50_500X500X80L40X24T310L",25.810780,-22.807060,90.000000,bottom
"U2","NOIP1SN0480A","BGA88CP50_8X11_493X613X75B25",9.250000,-23.338400,0.000000,bottom
"U3","TLV7103318DSER","SON_6_P50_150X150X80L50X25L",14.496400,-33.973400,180.000000,bottom
