Ref,Val,Package,PosX,PosY,Rot,Side
C1,GRM033R61A104ME15D,C_0201_0603Metric_L,7.7592,-22.3866,270,top
C1,GRM155R60J475ME87D,C_0402_1005Metric_L,26.29342,-4.74774,180,top
C2,GRM033R61A225ME47D,C_0201_0603Metric_L,22.20402,-8.32914,270,top
C2,GRM033R61A104ME15D,C_0201_0603Metric_L,11.1882,-21.7382,270,top
C3,GRM033R61A104ME15D,C_0201_0603Metric_L,7.0148,-24.5068,0,top
C4,GRM033R61A104ME15D,C_0201_0603Metric_L,27.76662,-6.83054,270,top
C4,GRM033R61A104ME15D,C_0201_0603Metric_L,12.044,-22.5978,0,top
C5,GRM033R61A104ME15D,C_0201_0603Metric_L,11.79,-21.7382,270,top
C5,GRM033R61A225ME47D,C_0201_0603Metric_L,21.51822,-6.62734,270,top
C6,GRM155R60J475ME87D,C_0402_1005Metric_L,23.37242,-8.43074,180,top
C7,GRM033R61A104ME15D,C_0201_0603Metric_L,27.76662,-8.10054,270,top
C7,GRM033R61A104ME15D,C_0201_0603Metric_L,11.5184,-24.4774,0,top
C8,GRM033R61A104ME15D,C_0201_0603Metric_L,9.2754,-24.837,270,top
C9,GRM033R61A104ME15D,C_0201_0603Metric_L,9.8192,-39.7934,180,top
C9,GRM033R61A104ME15D,C_0201_0603Metric_L,6.3622,-25.1044,180,top
C11,GRM033R61A104ME15D,C_0201_0603Metric_L,10.2992,-21.6072,180,top
C12,GRM033R61A104ME15D,C_0201_0603Metric_L,11.5106,-25.091,0,top
C13,GRM033R61A104ME15D,C_0201_0603Metric_L,7.4974,-25.1164,0,top
C16,GRM033R61A104ME15D,C_0201_0603Metric_L,7.5306,-20.388,90,top
C17,GRM188R61E475KE11D,C_0603_1608Metric_L,11.6962,-20.3118,0,top
C19,GRM033R61A104ME15D,C_0201_0603Metric_L,9.2754,-21.8144,270,top
D1,LED,LED_0402_1005Metric,9.2832,-19.0926,180,top
G***,LOGO,Miniscope_Logo2,14.60742,-5.39654,0,top
