Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM033R61A104ME15D","C_0201_0603Metric_L",-14.122400,17.510000,270.000000,bottom
"C2","GRM155R60J475ME47D","C_0402_1005Metric_L",-14.107400,16.084800,270.000000,bottom
"C9","GRJ188R72A104KE11D","C_0603_1608Metric_L",-3.505200,36.788600,0.000000,bottom
"C29","GRM155R60J106ME15D","C_0402_1005Metric_L",-8.360600,5.189600,180.000000,bottom
"C30","GRM155R60J106ME15D","C_0402_1005Metric_L",-8.360600,4.326000,180.000000,bottom
"C33","GRM033R61A105ME15D","C_0201_0603Metric_L",-7.293800,5.926200,180.000000,bottom
"C34","GRM033R61A105ME15D","C_0201_0603Metric_L",-9.452800,5.926200,180.000000,bottom
"C35","GRM033R61A105ME15D","C_0201_0603Metric_L",-8.386000,5.926200,180.000000,bottom
"C36","GRM155R60J475ME47D","C_0402_1005Metric_L",-4.296600,2.319400,0.000000,bottom
"C37","GRM033R61A104ME15D","C_0201_0603Metric_L",-4.042600,1.049400,0.000000,bottom
"C38","GRM033R71A103KA01D","C_0201_0603Metric_L",-4.042600,1.608200,0.000000,bottom
"C39","GRM155R60J475ME47D","C_0402_1005Metric_L",-2.620200,2.294000,180.000000,bottom
"C40","GRM033R61A104ME15D","C_0201_0603Metric_L",-2.950400,1.582800,180.000000,bottom
"C41","GRM033R71A103KA01D","C_0201_0603Metric_L",-2.950400,1.049400,180.000000,bottom
"C42","GRM033R61A105ME15D","C_0201_0603Metric_L",-1.858200,1.024000,180.000000,bottom
"C43","GRM155R60J106ME15D","C_0402_1005Metric_L",-5.973000,2.294000,0.000000,bottom
"C44","GRM033R61A104ME15D","C_0201_0603Metric_L",-5.541200,1.582800,0.000000,bottom
"C45","GRM033R71A103KA01D","C_0201_0603Metric_L",-5.541200,1.049400,0.000000,bottom
"C46","GRM033R61A104ME15D","C_0201_0603Metric_L",-6.074600,5.443600,180.000000,bottom
"C47","GRM033R71A103KA01D","C_0201_0603Metric_L",-6.074600,6.027800,180.000000,bottom
"C48","GRM033R61A104ME15D","C_0201_0603Metric_L",-5.007800,6.027800,0.000000,bottom
"C49","GRM033R71A103KA01D","C_0201_0603Metric_L",-5.007800,5.443600,0.000000,bottom
"C50","GRM21BR61A476ME15L ","C_0805_2012Metric_L",-4.198200,34.299400,0.000000,bottom
"C55","DNL","C_0201_0603Metric_L",-15.925800,13.462000,0.000000,bottom
"D1","LXZ1-PB01","LED_LXZ1_PB01_L",-3.500000,30.750000,180.000000,bottom
"D2","BAS316-TP","SOD_323_250X125X110L30X32L",-1.651000,35.239200,270.000000,bottom
"L1","MBKK1608T3R3M","L_0603_1608Metric_L",-3.530600,35.645600,180.000000,bottom
"L4","BLM15HD102SN1D","L_0402_1005Metric",-10.265600,0.609600,0.000000,bottom
"L5","ADL3225V-470MT-TL000","L_1210_3225Metric_L",-9.605200,2.438400,180.000000,bottom
"L6","BLM15HD102SN1D","L_0402_1005Metric",-2.569400,3.132200,180.000000,bottom
"L7","BLM15HD102SN1D","L_0402_1005Metric",-5.998400,3.132200,0.000000,bottom
"R2","ERJ-1GNF1801C","R_0201_0603Metric_ERJ_L",-0.660400,5.334000,270.000000,bottom
"R3","ERJ-1GNF1801C","R_0201_0603Metric_ERJ_L",-1.244600,5.334000,270.000000,bottom
"R8","ERJ-1GNF1801C","R_0201_0603Metric_ERJ_L",-10.591800,4.191000,0.000000,bottom
"R10","ERJ-1GNF1002C","R_0201_0603Metric_ERJ_L",-1.197800,2.090800,0.000000,bottom
"R11","ERJ-1GNF1003C","R_0201_0603Metric_ERJ_L",-1.197800,2.649600,180.000000,bottom
"R12","ERJ-1GNF1002C","R_0201_0603Metric_ERJ_L",-1.858200,1.582800,0.000000,bottom
"R13","DNL","R_0201_0603Metric_ERJ_L",-14.681200,13.462000,180.000000,bottom
"U1","ATmega328-MU","QFN_33_P50_500X500X80L40X24T310L",-17.434800,16.872200,90.000000,bottom
"U6","NOIP1SP0480A","BGA88CP50_8X11_493X613X75B25",-3.484400,17.069200,0.000000,bottom
"U8","TLV7103318DSER","SON_6_P50_150X150X80L50X25L",-10.773600,5.494400,180.000000,bottom
"U11","PCA9509AGM","XQFN8",-3.225800,5.369000,270.000000,bottom
