Ref,Val,Package,PosX,PosY,Rot,Side
"C3","GRM033R61A225ME47D","C_0201_0603Metric_L",5.283200,33.131000,90.000000,top
"C4","GRM033R61A225ME47D","C_0201_0603Metric_L",5.283200,31.683200,90.000000,top
"C5","GRM155R60J475ME47D","C_0402_1005Metric_L",4.889000,34.147000,0.000000,top
"C6","GRM033R61A104ME15D","C_0201_0603Metric_L",5.130800,29.549600,270.000000,top
"C7","GRM155R60J475ME47D","C_0402_1005Metric_L",2.032000,34.172400,180.000000,top
"C8","GRM033R61A104ME15D","C_0201_0603Metric_L",3.479800,34.172400,0.000000,top
"C10","GRM033R61A104ME15D","C_0201_0603Metric_L",5.518400,18.574000,270.000000,top
"C11","GRM033R61A104ME15D","C_0201_0603Metric_L",6.001000,18.574000,270.000000,top
"C12","GRM033R61A104ME15D","C_0201_0603Metric_L",5.975600,17.558000,270.000000,top
"C13","GRM033R61A104ME15D","C_0201_0603Metric_L",1.987800,18.548600,90.000000,top
"C14","GRM033R61A104ME15D","C_0201_0603Metric_L",1.246800,15.830800,0.000000,top
"C15","GRM155R60J106ME15D","C_0402_1005Metric_L",7.423400,18.523200,0.000000,top
"C16","GRM033R61A104ME15D","C_0201_0603Metric_L",3.486400,15.551400,270.000000,top
"C17","GRM033R61A104ME15D","C_0201_0603Metric_L",1.200400,14.764000,0.000000,top
"C18","GRM033R61A104ME15D","C_0201_0603Metric_L",5.747000,15.805400,0.000000,top
"C19","GRM155R60J106ME15D","C_0402_1005Metric_L",7.423400,16.618200,0.000000,top
"C20","GRM033R61A104ME15D","C_0201_0603Metric_L",4.756400,18.828000,180.000000,top
"C21","GRM033R61A104ME15D","C_0201_0603Metric_L",5.747000,15.297400,0.000000,top
"C22","GRM033R61A104ME15D","C_0201_0603Metric_L",1.733800,15.322800,0.000000,top
"C23","GRM155R60J106ME15D","C_0402_1005Metric_L",7.448800,17.507200,0.000000,top
"C24","GRM033R61A104ME15D","C_0201_0603Metric_L",3.689600,18.828000,0.000000,top
"C25","GRM033R61A104ME15D","C_0201_0603Metric_L",-0.755400,18.878800,0.000000,top
"C26","GRM033R61A104ME15D","C_0201_0603Metric_L",1.987800,19.640800,90.000000,top
"C27","GRM188R61E475KE11D","C_0603_1608Metric_L",5.950200,19.742400,0.000000,top
"C28","GRM033R61A104ME15D","C_0201_0603Metric_L",0.362200,18.878800,0.000000,top
"C31","GRM033R61A104ME15D","C_0201_0603Metric_L",5.537200,0.439800,180.000000,top
"C32","GRM033R61C473KE84D","C_0201_0603Metric_L",3.940800,0.442600,0.000000,top
"C51","GRM033R61A104ME15D","C_0201_0603Metric_L",13.472400,17.964400,270.000000,top
"C52","GRM033R61A104ME15D","C_0201_0603Metric_L",16.713200,20.126200,180.000000,top
"C53","GRM033R71A103KA01D","C_0201_0603Metric_L",18.349200,18.396200,270.000000,top
"C54","GRM033R61A104ME15D","C_0201_0603Metric_L",18.933400,18.396200,270.000000,top
"C56","12pF","C_0201_0603Metric_L",15.925800,13.462000,0.000000,top
"C57","GRM033R61A105ME15D","C_0201_0603Metric_L",4.292600,13.309600,90.000000,top
"C58","GRM033R61A105ME15D","C_0201_0603Metric_L",5.156200,14.528800,180.000000,top
"D3","VLMS1500-GS08","LED_0402_1005Metric",3.537200,20.896200,180.000000,top
"J1","DNL","Conn_1x1_700_Circular_Pad",19.862800,17.052800,0.000000,top
"J2","DNL","Conn_1x1_700_Circular_Pad",18.592800,15.782800,0.000000,top
"J3","DNL","Conn_1x1_700_Circular_Pad",18.592800,17.052800,0.000000,top
"J4","DNL","Conn_1x1_700_Circular_Pad",19.862800,14.512800,0.000000,top
"J5","DNL","Conn_1x1_700_Circular_Pad",19.862800,15.782800,0.000000,top
"J6","DNL","Conn_1x1_700_Circular_Pad",18.592800,14.512800,0.000000,top
"J9","DNL","Conn_1x1_700_Circular_Pad",13.919200,20.362800,0.000000,top
"J11","DNL","Conn_1x1_250x750_Pad",2.819400,36.890200,180.000000,top
"J12","DNL","Conn_1x1_250x750_Pad",4.216400,36.890200,180.000000,top
"J17","U.FL-R-SMT-1(10)","U-FL-R-SMT",9.579800,2.243200,0.000000,top
"J_coax_gnd1","DNL","Conn_1x1_100x100_Pad",9.427400,5.113400,0.000000,top
"J_extra1","DNL","B2B_Flex_05_Dual_Row_38milx24mil_Pad_20mil_copy",-0.250000,6.250000,270.000000,top
"L2","BLM18PG471SN1D","L_0603_1608Metric_L",7.747000,14.946400,90.000000,top
"L3","BLM18PG471SN1D","L_0603_1608Metric_L",3.461000,19.742400,0.000000,top
"Q1","MMBT3904LP-7B","TRXDFN3_101X61X53L25X15N",5.086600,20.733000,180.000000,top
"R1","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",1.803400,29.575000,90.000000,top
"R4","ERJ-1GNF1801C","R_0201_0603Metric_ERJ_L",1.987800,20.733000,270.000000,top
"R5","ERJ-1GNF1001C","R_0201_0603Metric_ERJ_L",6.788400,20.860000,0.000000,top
"R6","DNL","R_0201_0603Metric_ERJ_L",-0.222000,15.805400,0.000000,top
"R7","ERJ-1GNF4752C","R_0201_0603Metric_ERJ_L",1.987800,17.075400,270.000000,top
"R9","ERJ-1GNF49R9C","R_0201_0603Metric_ERJ_L",2.848600,0.442600,0.000000,top
"R14","DNL","R_0201_0603Metric_ERJ_L",14.681200,13.462000,180.000000,top
"R15","ERJ-1GNF1002C","R_0201_0603Metric_ERJ_L",15.621000,20.126200,180.000000,top
"R16","ERJ-1GNF1002C","R_0201_0603Metric_ERJ_L",13.436600,16.364200,90.000000,top
"U2","LTC3218","SON_11_P50_300X200X80L40X25T239X64L",3.403600,32.419800,180.000000,top
"U3","TPL0102-100RUCR","QFN_14_P40_200X200X40L40X20L",3.461000,29.564200,180.000000,top
"U4","MAX14574EWL+","BGA_15_NP50_3X5_155X255X69B31N",3.505200,35.544000,180.000000,top
"U5","LMV321IDCKR","SOT_23-5P65_210X110L36X22L",0.159000,20.199600,90.000000,top
"U7","SG-210STF 66.6667ML3","OSC_CC250X200X80L70X75L",0.184400,17.329400,0.000000,top
"U9","DS90UB913ATRTVTQ1","QFN_33_P50_500X500X80L40X24T310L",4.486800,3.551600,270.000000,top
"U10","NCP163AMX330TBG","UQFN_MCP1711",5.181600,13.487400,180.000000,top
"U12","BNO055","LGA-28_5.2x3.8mm_P0.5mm",15.950200,16.911400,270.000000,top
